"Title"	"Journal"	"Year"	"PMID"
"24"	"Glycine-induced long-term synaptic potentiation is mediated by the glycine transporter GLYT1."	"Neuropharmacology"	2007	"17462677"
"25"	"Clinical spectrum of the osmotic-controlled release oral delivery system (OROS), an advanced oral delivery form."	"Current medical research and opinion"	2006	"17022845"
"26"	"Carbachol induces burst firing of dopamine cells in the ventral tegmental area by promoting calcium entry through L-type channels in the rat."	"The Journal of physiology"	2005	"16081481"
"27"	"Evaluation of the role of P-glycoprotein in the uptake of paroxetine, clozapine, phenytoin and carbamazapine by bovine retinal endothelial cells."	"Neuropharmacology"	2005	"15961125"
"28"	"Coupling of human nicotinic acetylcholine receptors alpha 7 to calcium channels in GH3 cells."	"Neuropharmacology"	2005	"15695160"
"29"	"L-type Ca2+ channel blockers promote Ca2+ accumulation when dopamine receptors are activated in striatal neurons."	"Brain research. Molecular brain research"	2004	"15530653"
"30"	"Anabasine, a selective nicotinic acetylcholine receptor agonist, antagonizes MK-801-elicited mouse popping behavior, an animal model of schizophrenia."	"Behavioural brain research"	2004	"15265637"
"31"	"Calcium channel blockers for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2004	"14973950"
"32"	"[Suicidal poisoning with antihypertensive drugs]."	"Przeglad lekarski"	2003	"14569890"
"33"	"Uptake of clozapine into HL-60 promyelocytic leukaemia cells."	"Pharmacopsychiatry"	2002	"12107852"
"34"	"Attenuation of ketamine effects by nimodipine pretreatment in recovering ethanol dependent men: psychopharmacologic implications of the interaction of NMDA and L-type calcium channel antagonists."	"Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology"	2001	"11750186"
"35"	"Calcium channel blockers for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2001	"11279683"
"36"	"Biophysical and molecular properties of annexin-formed channels."	"Progress in biophysics and molecular biology"	2000	"10958928"
"37"	"Diltiazem, nifedipine, nimodipine or verapamil for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2000	"10796323"
"38"	"Comparative pharmacology of bipolar disorder and schizophrenia."	"Schizophrenia research"	1999	"10507527"
"39"	"Calcium channel blockers in psychiatric disorders: a review of the literature."	"Canadian journal of psychiatry. Revue canadienne de psychiatrie"	1999	"10500866"
"40"	"Treatment of clozapine induced hypertension and possible mechanisms."	"Clinical neuropharmacology"	1998	"9579304"
"41"	"Effects of nifedipine, a calcium channel antagonist, on cognitive function in schizophrenic patients with tardive dyskinesia."	"Clinical neuropharmacology"	1997	"9260735"
"42"	"Unbiased cocaine conditioned place preferences (CPP) obscures conditioned locomotion, and nimodipine blockade of cocaine CPP is due to conditioned place aversions."	"Psychopharmacology"	1997	"9160848"
"43"	"Calcium channel blockers for anxiety disorders?"	"Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists"	1996	"8986318"
"44"	"Nilvadipine is effective for chronic schizophrenia in a double-blind placebo-controlled study. off."	"Journal of clinical psychopharmacology"	1996	"8959468"
"45"	"Anticholinergic overdose induced torsade de pointes successfully treated with verapamil."	"Japanese heart journal"	1996	"9057687"
"46"	"Administration of antidepressants, diazepam and psychomotor stimulants further confirms the utility of Flinders Sensitive Line rats as an animal model of depression."	"Psychopharmacology"	1995	"8539339"
"47"	"Effectiveness of nilvadipine in two cases of chronic schizophrenia."	"Psychiatry and clinical neurosciences"	1995	"9179944"
"48"	"[Role of excitatory amino acids in neuropathology]."	"Medicina"	1995	"8728878"
"49"	"Calcium channel blockade interacts with a neuroleptic to attenuate the conditioning of amphetamine's behavioral effects in the rat."	"Biological psychiatry"	1992	"1388060"
"50"	"A clinical trial of nifedipine in schizophrenia and tardive dyskinesia."	"Pharmacology, biochemistry, and behavior"	1991	"1686106"
"51"	"Effects of nifedipine on psychosis and tardive dyskinesia in schizophrenic patients."	"Journal of clinical psychopharmacology"	1991	"1674950"
"52"	"Effects of adjunctive verapamil administration in chronic schizophrenic patients."	"Progress in neuro-psychopharmacology &amp; biological psychiatry"	1991	"1677775"
"53"	"Nifedipine in the treatment of tardive dyskinesia."	"Journal of clinical psychopharmacology"	1990	"1981070"
"54"	"Verapamil in the treatment of schizophrenia."	"DICP : the annals of pharmacotherapy"	1990	"2260342"
"55"	"Effects of verapamil on tardive dyskinesia and psychosis in schizophrenic patients."	"The Journal of clinical psychiatry"	1989	"2562952"
"56"	"Steady-state cerebrospinal fluid transfer of verapamil and metabolites in patients with schizophrenia."	"Clinical pharmacology and therapeutics"	1988	"3180637"
"57"	"Effects of verapamil administration on negative symptoms of chronic schizophrenia."	"Psychiatry research"	1988	"3387506"
"58"	"Use of verapamil to treat negative symptoms in schizophrenia."	"Journal of clinical psychopharmacology"	1987	"3680609"
"59"	"Nifedipine in neuroleptic-refractory schizophrenia."	"Journal of clinical psychopharmacology"	1987	"2885346"
"60"	"Verapamil in treatment of severe schizophrenia."	"Acta psychiatrica Scandinavica"	1987	"2886012"
"61"	"Clinical and biochemical effects of verapamil administration to schizophrenic patients."	"Archives of general psychiatry"	1987	"3545130"
"62"	"Verapamil in refractory schizophrenia: a case report."	"Progress in neuro-psychopharmacology &amp; biological psychiatry"	1987	"3628827"
"63"	"Verapamil in the treatment of chronic schizophrenia."	"Psychopharmacology bulletin"	1987	"3602324"
"64"	"Antipsychotic effects of verapamil in schizophrenia."	"The Hillside journal of clinical psychiatry"	1987	"3323023"
"65"	"Verapamil in acute psychosis."	"Psychosomatics"	1986	"3797612"
"66"	"Effect of verapamil on platelet serotonin concentration in normal and schizophrenic subjects."	"Psychiatry research"	1986	"3797552"
"67"	"Treatment of schizophrenia with verapamil."	"Journal of clinical psychopharmacology"	1986	"3734147"
"68"	"A negative, double-blind, placebo-controlled, clinical trial of verapamil in chronic schizophrenia."	"Biological psychiatry"	1986	"3518822"
"69"	"Verapamil concentrations in cerebrospinal fluid after oral administration."	"The New England journal of medicine"	1985	"3990723"
"70"	"Antischizophrenic drugs of the diphenylbutylpiperidine type act as calcium channel antagonists."	"Proceedings of the National Academy of Sciences of the United States of America"	1983	"6136040"
"71"	"[Hyperthermia with acute rhabdomyolysis in a psychotic treated with neuroleptics]."	"Revue neurologique"	1983	"6139869"
"72"	"Clinical evaluation of cinnarizine in patients with cerebral circulatory deficiency."	"Arzneimittel-Forschung"	1972	"4554633"
