"Title"	"Journal"	"Year"	"PMID"	"Abstract"
"11"	"Reversible dimers of the atypical antipsychotic quetiapine inhibit p-glycoprotein-mediated efflux in vitro with increased binding affinity and in situ at the blood-brain barrier."	"ACS chemical neuroscience"	2014	"24483607"	"The multidrug resistance transporter P-glycoprotein (P-gp) is highly expressed in the capillary endothelial cells of the blood-brain barrier (BBB) where it functions to limit the brain penetration of many drugs, including antipsychotic agents used to treat schizophrenia. Therefore, in an effort to inhibit the transporter, we designed dimers of the antipsychotic drug and P-gp substrate quetiapine (QT), linked by variable length tethers. In P-gp overexpressing cells and in human brain capillary endothelial hCMEC/D3 cells, the dimer with the shortest tether length (QT2C2) (1) was the most potent inhibitor showing &gt;80-fold better inhibition of P-gp-mediated transport than monomeric QT. The dimers, which are linked via ester moieties, are designed to revert to the therapeutic monomer once inside the target cells. We demonstrated that the addition of two sterically blocking methyl groups to the linker (QT2C2Me2, 8) increased the half-life of the molecule in plasma 10-fold as compared to the dimer lacking methyl groups (QT2C2, 1), while retaining inhibitory potency for P-gp transport and sensitivity to cellular esterases. Experiments with purified P-gp demonstrated that QT2C2 (1) and QT2C2Me2 (8) interacted with both the H- and R-binding sites of the transporter with binding affinities 20- to 30-fold higher than that of monomeric QT. Using isolated rat brain capillaries, QT2C2Me2 (8) was a more potent inhibitor of P-gp transport than QT. Lastly, we showed that QT2C2Me2 (8) increased the accumulation of the P-gp substrate verapamil in rat brain in situ three times more than QT. Together, these results indicate that the QT dimer QT2C2Me2 (8) strongly inhibited P-gp transport activity in human brain capillary endothelial cells, in rat brain capillaries, and at the BBB in an animal model."
"12"	"Verapamil for the treatment of clozapine-induced persistent sinus tachycardia in a patient with schizophrenia: a case report and literature review."	"Psychosomatics"	2013	"23820380"	""
"13"	"Ginkgo biloba: indications, mechanisms, and safety."	"The Psychiatric clinics of North America"	2013	"23538078"	"Ginkgo biloba special extract (EGb761) is used in most randomized control trials. Indications include cognition and memory in Alzheimer disease, age-associated dementia, cerebral insufficiency, intermittent claudication, schizophrenia, and multi-infarct dementia. Dosages range from 80 to 720 mg/d for durations of 2 weeks to 2 years. Mechanisms of action include increasing cerebral blood flow, antioxidant and antiinflammatory effects, with antiplatelet effects attributed to flavone and terpene lactones. Possible interactions with monoamine oxidase inhibitors, alprazolam, haloperidol, warfarin, and nifedipine have been reported. Optimal dosage/duration, dose-response characteristics, drug interactions, bioavailability, long-term effects, and optimal intervention timing should be the focus of future work."
"14"	"Microtubule organization and L-type voltage-activated calcium current in olfactory neuronal cells obtained from patients with schizophrenia and bipolar disorder."	"Schizophrenia research"	2013	"23290267"	"Olfactory neuroepithelial cells in culture have been proposed as a model to study the physiopathology of psychiatric disorders and biomarker characterization for diagnosis. In patients with schizophrenia (SZ) and bipolar disorder (BD) diminished microtubule-associated proteins expression occurs, which might lead to aberrant microtubular organization and which in turn may affect Ca(2+) voltage-activated currents. The aim of this work was to characterize of microtubule organization as well as of the L-type Ca(2+) current in neuronal precursors obtained from nasal exfoliates of patients with SZ and BD. Microtubule organization was studied by immunofluorescence with a specific anti-III ß-tubulin antibody and by quantification of globular and assembled tubulin by Western blot. L-type current recording was performed by whole-cell patch-clamp technique and nifedipine superfusion. The results showed differential altered microtubular organization in neuronal precursors of SZ and BD. Short microtubules were observed in BD neurons, while extensive, unstained subcellular areas and disorganized microtubules were evident in SZ neuronal precursors. Patients with BD showed a decrease in amounts of tubulin in total homogenates and 40% decrease in the globular fraction. However, L-type current in BD was similar to that in healthy subjects (HS). In contrast, this current in SZ was 50% lower. These reduction in L-type current in SZ together with differential microtubule alterations are potential biomarkers that may differentiates SZ and BD."
"15"	"Epileptiform activity and cognitive deficits in SNAP-25(+/-) mice are normalized by antiepileptic drugs."	"Cerebral cortex (New York, N.Y. : 1991)"	2012	"23064108"	"Synaptosomal-associated protein of 25 kDa (SNAP-25) is a protein that participates in the regulation of synaptic vesicle exocytosis through the formation of the soluble NSF attachment protein receptor complex and modulates voltage-gated calcium channels activity. The Snap25 gene has been associated with schizophrenia, attention deficit hyperactivity disorder, and bipolar disorder, and lower levels of SNAP-25 have been described in patients with schizophrenia. We used SNAP-25 heterozygous (SNAP-25(+/-)) mice to investigate at which extent the reduction of the protein levels affects neuronal network function and mouse behavior. As interactions of genotype with the specific laboratory conditions may impact behavioral results, the study was performed through a multilaboratory study in which behavioral tests were replicated in at least 2 of 3 distinct European laboratories. Reductions of SNAP-25 levels were associated with a moderate hyperactivity, which disappeared in the adult animals, and with impaired associative learning and memory. Electroencephalographic recordings revealed the occurrence of frequent spikes, suggesting a diffuse network hyperexcitability. Consistently, SNAP-25(+/-) mice displayed higher susceptibility to kainate-induced seizures, paralleled by degeneration of hilar neurons. Notably, both EEG profile and cognitive defects were improved by antiepileptic drugs. These results indicate that reduction of SNAP-25 expression is associated to generation of epileptiform discharges and cognitive dysfunctions, which can be effectively treated by antiepileptic drugs."
"16"	"Synaptic activity unmasks dopamine D2 receptor modulation of a specific class of layer V pyramidal neurons in prefrontal cortex."	"The Journal of neuroscience : the official journal of the Society for Neuroscience"	2012	"22492051"	"Dopamine D2 receptors (D2Rs) play a major role in the function of the prefrontal cortex (PFC), and may contribute to prefrontal dysfunction in conditions such as schizophrenia. Here we report that in mouse PFC, D2Rs are selectively expressed by a subtype of layer V pyramidal neurons that have thick apical tufts, prominent h-current, and subcortical projections. Within this subpopulation, the D2R agonist quinpirole elicits a novel afterdepolarization that generates voltage fluctuations and spiking for hundreds of milliseconds. Surprisingly, this afterdepolarization is masked in quiescent brain slices, but is readily unmasked by physiologic levels of synaptic input which activate NMDA receptors, possibly explaining why this phenomenon has not been reported previously. Notably, we could still elicit this afterdepolarization for some time after the cessation of synaptic stimulation. In addition to NMDA receptors, the quinpirole-induced afterdepolarization also depended on L-type Ca(2+) channels and was blocked by the selective L-type antagonist nimodipine. To confirm that D2Rs can elicit this afterdepolarization by enhancing Ca(2+) (and Ca(2+)-dependent) currents, we measured whole-cell Ca(2+) potentials that occur after blocking Na(+) and K(+) channels, and found quinpirole enhanced these potentials, while the selective D2R antagonist sulpiride had the opposite effect. Thus, D2Rs can elicit a Ca(2+)-channel-dependent afterdepolarization that powerfully modulates activity in specific prefrontal neurons. Through this mechanism, D2Rs might enhance outputs to subcortical structures, contribute to reward-related persistent firing, or increase the level of noise in prefrontal circuits."
"17"	"Calcium channel blockers for neuroleptic-induced tardive dyskinesia."	"The Cochrane database of systematic reviews"	2011	"22071797"	"BACKGROUND: Schizophrenia and related disorders affect a sizable proportion of any population. Neuroleptic (antipsychotic) medications are the primary treatment for these disorders. Neuroleptic medications are associated with a variety of side effects including tardive dyskinesia. Dyskinesia is a disfiguring movement disorder of the orofacial region that can be tardive (having a slow or belated onset). Tardive dyskinesia is difficult to treat, despite experimentation with several treatments. Calcium channel blockers (diltiazem, nifedipine, nimodipine, verapamil) have been among these experimental treatments.OBJECTIVES: To determine the effects of calcium-channel blocker drugs (diltiazem, nifedipine, nimodipine, verapamil) for treatment of neuroleptic-induced tardive dyskinesia in people with schizophrenia, schizoaffective disorder or other chronic mental illnesses.SEARCH STRATEGY: We updated previous searches in May 2010 by searching the Cochrane Schizophrenia Group Register using the Cochrane Schizophrenia Group search strategy.SELECTION CRITERIA: Randomised clinical trials comparing calcium-channel blockers with placebo, no intervention or any other intervention for people with both tardive dyskinesia and schizophrenia or serious mental illness.DATA COLLECTION AND ANALYSIS: We planned to extract and analyse data on an intention-to-treat (ITT) basis. We intended to calculate the relative risk (RR) and 95% confidence intervals (CI) of homogeneous dichotomous data using a random-effects model, and, where possible, calculate the number needed to treat. We planned to calculate mean differences (MD) for continuous data.MAIN RESULTS: We did not include any trials in this review. We excluded 15 studies; eight were not randomised, one did not use calcium channel blockers, five small, randomised, studies reported no usable data and one did not include people with both tardive dyskinesia and schizophrenia.AUTHORS' CONCLUSIONS: The effects of calcium-channel blockers for antipsychotic induced tardive dyskinesia are unknown. Their use is experimental and should only be given in the context of well designed randomised clinical trials."
"18"	"Raynaud’s phenomenon in a patient with schizophrenia and obsessive-compulsive disorder: a case report."	"Turk psikiyatri dergisi = Turkish journal of psychiatry"	2011	"21780344"	""
"19"	"Simultaneous determination of aripiprazole and its active metabolite, dehydroaripiprazole, in plasma by capillary electrophoresis combining on-column field-amplified sample injection and application in schizophrenia."	"Electrophoresis"	2010	"20665528"	"A sensitive high-performance CZE combining on-column field-amplified sample injection (FASI) has been developed for simultaneous determination of aripiprazole and its active metabolite, dehydroaripiprazole, in human plasma. A sample pretreatment by means of liquid-liquid extraction (LLE) (diethyl ether) with subsequent quantitation by FASI-CZE was used. The separation of aripiprazole and dehydroaripiprazole was performed using a BGE containing 150 mM phosphate buffer (pH 3.5) with 40% methanol and 0.02% PVA as a dynamic coating to reduce interaction of analytes with the capillary wall. Before sample loading, a methanol plug (0.3 psi, 6 s) was injected to permit FASI for stacking. The samples were injected electrokinetically (10 kV, 30 s) to introduce sample cations and the applied voltage was 20 kV with on-column detection at 214 nm. Several parameters affecting the separation and sensitivity of the drug and its active metabolite were studied, including reconstitution solvent, organic modifier, pH and concentration of phosphate buffer. The linear ranges of the method for test drug and its active metabolite, in plasma using amlodipine as an internal standard, were over the range 5.0-100.0 ng/mL. One female volunteer (25 years old) was orally administered a single dose of 10 mg aripiprazole (Abilify, Otsuka) and blood samples were drawn over a 60 h period for pharmacokinetic study. The method was also applied to monitor the concentration of aripiprazole and dehydroaripiprazole in plasma collected after oral administration of 20 or 30 mg aripiprazole (Abilify, Otsuka) daily at steady state in one schizophrenic patient."
"20"	"Regional increase in P-glycoprotein function in the blood-brain barrier of patients with chronic schizophrenia: a PET study with [(11)C]verapamil as a probe for P-glycoprotein function."	"Psychiatry research"	2010	"20620031"	"P-glycoprotein (P-gp), a major efflux pump in the blood-brain barrier (BBB) has a profound effect on entry of drugs, peptides and other substances into the central nervous system (CNS). The brain's permeability can be negatively influenced by modulation of the transport function of P-gp. Inflammatory mediators play a role in schizophrenia, and may be able to influence the integrity of the BBB, via P-gp modulation. We hypothesized that P-gp function in the BBB is changed in patients with schizophrenia. Positron-emission tomography was used to measure brain uptake of [(11)C]verapamil, which is normally extruded from the brain by P-gp. We found that patients with chronic schizophrenia under treatment with antipsychotic drugs compared with healthy controls showed a significant decrease in [(11)C]verapamil uptake in the temporal cortex, the basal ganglia, and the amygdala, and amygdalae, and a trend towards a significant decrease was seen throughout the brain. The decrease of [(11)C]verapamil uptake correlates with an increased activity of the P-gp pump. Increased P-gp activity may be a factor in drug resistance in schizophrenia, induced by the use of antipsychotic agents."
"21"	"[Effect of nifedipine on the effectiveness of antipsychotic therapy in schizophrenia]."	"Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova"	2009	"19738566"	"An aim of the study was to assess an influence of nifedipine in combination with haloperidol on antipsychotic activity and cognitive disturbances in comparison to the monotherapy with haloperidol and quetiapine. Sixty-two patients with ICD-10 diagnosis of paranoid schizophrenia, chronic course, and undiffirentiates schizophrenia have been studied. Patients have been stratified into 3 groups each treated during 10 weeks. Patients of the 1st group (20) received haloperidol in combination with nifedipine, 2nd group (21 patients) received haloperidol and 3rd group (21) were treated with quetiapine. Effectiveness of therapy was assessed by PANSS, CGI and a battery of neuropsychological tests including the scale of cognitive functions. The total effectiveness of the combination of haloperidol with nifedipine did not differ from that of the monotherapy with haloperidol though was some more effective relatively to negative symptoms. The positive effect of this combination on thinking and cognitive functioning was comparable to that of quetiapine."
"22"	"[The use of nifedipine as a corrector of extrapyramidal side-effects of classical neuroleptics]."	"Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova"	2008	"18577931"	"The aim of the article was to study efficacy and safety of nifedipine in the correction of extrapyramidal side-effects emerged during conventional neuroleptics therapy. Fifty-one patients diagnosed with paranoid schizophrenia received haloperidol in combination with nifedipine (25 patients) or haloperidol only (26 patients) during 26 weeks. Dynamics of psychopathological symptoms and extrapyramidal disorders were measured with PANSS, CGI, BARS, SARS and AIMS. Patients receiving haloperidol in combination with nifedipine had the lower AIMS scores indicating appearances of dyskinesia and less marked (on the trend to statistical significance) SARS scores measuring parkinsonian symptoms as compared to patients receiving monotherapy with haloperidol. The administration of nifedipine in combination with haloperidol did not reduce the therapeutic efficacy of the latter and did not lead to the increase of side-effects. The data obtained suggest that nifedipine may be used as a perspective corrector of extrapyramidal disorders caused by classical neuroleptics."
"23"	"Effect of the novel antipsychotic drug perospirone on P-glycoprotein function and expression in Caco-2 cells."	"European journal of clinical pharmacology"	2008	"18478216"	"OBJECTIVE: Perospirone (PER) is a novel atypical antipsychotic drug for the treatment of schizophrenia and other psychotic disorders. The multidrug resistance transporter, P-glycoprotein (Pgp), is involved in the efflux transport of several antipsychotics across the blood-brain barrier (BBB). The aim of the present study was to evaluate the modulating effect of PER on both Pgp activity and expression in Caco-2 cell monolayers.METHODS: The effects of PER were analyzed by means of rhodamine 123 (Rhd 123) assays, and those of Pgp expression were analyzed by flow cytometry and reverse transcriptase-PCR.RESULTS: Perospirone at concentrations of 0.01-30 microM, which were found to be non-cytotoxic towards the Caco-2 cells, was observed to inhibit Pgp-mediated efflux transport of Rhd 123 in the cells as well as to down-regulate the cellular Pgp protein and MDR1 mRNA levels in a concentration-dependent manner. In the rhodamine accumulation assays, 30 microM PER produced a 429% increase of the cellular Rhd 123 concentration, which exceeded the inhibitory effect of the well-known Pgp inhibitor verapamil.CONCLUSION: Our findings provide experimental evidence that PER is an inhibitor of Pgp which interferes directly and indirectly with the function of Pgp."
"24"	"Glycine-induced long-term synaptic potentiation is mediated by the glycine transporter GLYT1."	"Neuropharmacology"	2007	"17462677"	"The negative symptoms of schizophrenia are reverted by treatment with glycine or other agonists of the glycine-B site which facilitate NMDA receptor function. On the other hand, there are experimental observations showing that exogenous application of glycine (0.5-10mM) results in a long-lasting potentiation of glutamatergic synaptic transmission (LTP-GLY). The characterization of the mechanisms underlying LTP-GLY could be useful to develop new therapies for schizophrenia. The main goal of this work is to deepen the understanding of this potentiation phenomenon. The present study demonstrates in rat hippocampal slices that superfusion of glycine 1mM during 30 min produces a potentiation of excitatory postsynaptic potentials in CA3-CA1 pathway lasting at least 1h. Glycine application does not modify neither presynaptic fiber volley nor paired-pulse facilitation of synaptic potentials. This LTP-GLY is independent of both strychnine-sensitive glycine receptors and nifedipine-sensitive calcium channels. Interestingly, LTP-GLY is not inhibited but strengthened by NMDA receptors antagonists such as AP-5 or MK-801. In contrast, LTP-GLY is partially or totally blocked with the antagonists of glycine transporter GLYT1, sarcosine or ALX-5407, respectively. These results indicate that LTP-GLY requires the activation of GLYT1, a glycine transporter co-localized and associated to NMDA receptors. In addition, the fact that NMDA receptor inhibition increases LTP-GLY magnitude, opens the possibility that these receptors could have a negative control on GLYT1 activity."
"25"	"Clinical spectrum of the osmotic-controlled release oral delivery system (OROS), an advanced oral delivery form."	"Current medical research and opinion"	2006	"17022845"	"BACKGROUND: The osmotic-controlled release oral delivery system, OROS, is an advanced drug delivery technology that uses osmotic pressure as the driving force to deliver pharmacotherapy, usually once-daily, in several therapeutic areas.OBJECTIVE: The purpose of this review is to discuss the evolution of OROS technology and examine the many therapeutic areas where OROS products are being used.METHODS: A search of Medline and EMBASE were performed using the keywords 'OROS' and 'osmotic delivery' for the period January 1990 to June 2005. Data were also obtained from the manufacturers' websites and associated publications.RESULTS: OROS technology has evolved over the last 30 years, resulting in four systems: the elementary osmotic pump; the two-layer osmotic push-pull tablet; the advanced longitudinally compressed tablet multilayer formulation; and, the L-OROS system. OROS technology is employed for drug delivery in many therapeutic areas including: cardiovascular medicine, endocrinology, urology, and central nervous system (CNS) therapeutics. Two calcium channel blockers utilizing OROS technology for the treatment of hypertension are nifedipine and verapamil. Glipizide extended-release is used for the treatment of type 2 diabetes. Doxazosin is used for the treatment of benign prostatic hyperplasia, and oxybutynin for overactive bladder. Most recent developments are with drugs that affect the CNS, including the use of methylphenidate for treatment of attention deficit hyperactivity disorder, paliperidone extended-release and OROS hydromorphone, which are under clinical development for schizophrenia and chronic pain, respectively.CONCLUSIONS: Drug delivery using the various OROS products can result in an improved safety profile, stable drug concentrations, uniform drug effects, and reduced dosing frequency. OROS technology has also enabled the use of an effective starting dose, without the need for dose titration, which allows the achievement of symptom control much earlier than that observed with immediate-release preparations. Such attributes can enhance patient compliance and convenience, thereby ensuring efficacy and improving patient outcomes."
